type,location,lat,lon
IT, Manyata Tech Park, 13.044149779252967, 77.61851382170967
IT, Electronic City Phase 1, 12.841283869187249, 77.66440042490827
IT, ITPL Bengaluru, 12.98606163074757, 77.73559781006422
IT, EcoWorld Bellandur, 12.921304030920922, 77.68314246403648
IT, Brigade Tech Gardens, 12.963837682718571, 77.71926595239272
IT, Hoskote, 13.069186607547941, 77.79750736419682
IT, Peenya Industrial Area, 13.01581073330579, 77.50561094081294
IT, Jigani Industrial Area, 12.805351589502546, 77.62862067937684
IT, Koramangala, 12.935415272846246, 77.62435367851575
Markets, Chickpet, 12.970517279172567, 77.57815682355734
Markets, Gandhi Bazaar, 12.944937278592558, 77.57108627513037
Markets, Jayanagar 4th block, 12.9263741805421, 77.58423822155771
Markets, Malleshwaram 8th cross, 12.99914302627717, 77.57244656588671
Markets, KR Market, 12.965641270044536, 77.57606833705054
Markets, Commercial street, 12.982476443126087, 77.60842663889979
Markets, Russel Market, 12.985296385513209, 77.6057151145145
Markets, Bannerghatta Zoo, 12.798849744274015, 77.5677920793767
Markets, Lalbagh, 12.949635362924091, 77.58469122355692
Markets, Indiranagar, 12.950736234809352, 77.63916145054365
Residential, Vidyaranyapura, 13.081092896129645, 77.55608904520979
Residential, Chandra Layout, 12.954735871788209, 77.52242294476964
Residential, Yalachenahalli, 12.896324800938748, 77.57006403520052
Residential, Sahakara Nagar, 13.06251169953021, 77.58685142890627
Residential, RT Nagar, 13.02010306953511, 77.59461978164961
Residential, Mathikere, 13.031042104548828, 77.55668131742127
Residential, Yelahnka, 13.111860383630555, 77.58919860185507
Residential, Laggere, 13.009483851808811, 77.52247969639905
Transit, Majestic, 12.97672836965373, 77.57217758966824
Transit, Yeshwanthpur Railway Station, 13.023366904543256, 77.55137005451815
Transit, KR Puram, 12.997620143304049, 77.66953127143333
Transit, Hebbal, 13.042923828287579, 77.59029882170958
Transit, Kengeri Satellite Bus Stand, 12.914046364131455, 77.48649713964441
Transit, Goraguntepalya, 13.028695040320027, 77.54087802355825
